term,definition
"What's the difference between an Act, a Regulation, and a Bylaw in Canadian law?","Act: A broad law passed by federal or provincial government, setting out general rules.

Regulation: Detailed instructions made under an Act, explaining how to apply its rules in specific situations.

Bylaw: Local rules created by municipalities or professional bodies—must follow the parent Act and its Regulations but can add further requirements."
Lien Law - What is it and how does it protect you?,"A legal right allowing contractors or suppliers who aren't paid to register a ""lien"" (a hold) on the property, so it can't be sold or refinanced until the debt is settled.

Example: You install a $10 000 HVAC system and aren't paid—file a lien, and the owner must pay you before selling the house."
What are the three stages of the professional discipline process?,"1. Gathering evidence
2. Investigation and peer review
3. Discipline hearing"
What does RFQ stand for?,RFQ stands for Request for Qualification
Most environmentally risky step in Carbon Capture & Sequestration (CCS)?,"Storage of CO₂.

Underground storage of CO₂ (sequestration) carries the greatest long-term environmental risk."
Architect licence in Canada,A provincial/territorial Architect licence under an Architects Act (not a P.Eng.) is required to practise.
Regulation of engineering and geoscience professions in Canada,They are self-regulated by provincial/territorial associations.
Which CSA rule governs public reporting of mineral discoveries after the Bre-X fraud?,"National Instrument 43-101

(CSA = Canadian Securities Administrators — the body that issued this rule for disclosure of mineral discoveries)"
Personal protective equipment (PPE) under OHS law,Worker wears it; employer supplies it.
Cradle-to-grave hazard assessment,Covers all hazards from initial construction through operation to final decommissioning.
Overall safety responsibility on multi-employer construction site,The prime contractor is legally responsible for workers & the public.
Factor of Safety (FoS) calculation,FoS = Load capacity ÷ Expected load.
Discipline vs enforcement in self-governing associations,Discipline prosecutes licensed members; enforcement prosecutes non-members misusing titles or practising without a licence.
Iron-ring ceremony for engineering licensure,No—you can be licensed without attending the ceremony.
What does Canada's mobility provision under the Canadian Free Trade Agreement (CFTA) allow for licensed engineers and geoscientists?,"They can apply for and obtain a licence in any province or territory with only minimal extra steps (e.g. proof of good standing, fees)—no need to redo exams or qualifications.

Example: A P.Eng. licensed in Ontario moves to British Columbia and becomes licensed there simply by submitting their Ontario licence and paying BC's application fee."
"Does a thesis-based master's degree count toward the required work experience for engineering licensure?

Thesis-based: a graduate program requiring original research and a written thesis.","No—each provincial/territorial association decides.

- Some (e.g. APEGA) grant up to 12 months of experience credit for a research master's.
- Others (e.g. PEO) give no credit.

Example:• Alberta engineer with an M.Sc. research thesis may reduce experience requirement by one year.• In Ontario, the same degree won't shorten the four-year experience mandate."
Misusing a client's confidential discovery,Breaches the duty to the client and duty to the profession.
Council member selection in self-regulating association,Most council members are chosen by the association.
Self-regulating association,Licensed members elect them (they're not mostly government-appointed).
Factor of Safety (FoS),FoS = load-carrying capacity ÷ expected load.
What is the key phrase in professional mentoring that captures a mentor's role in exemplifying ethical standards?,"Be self-aware about your own professionalism; model the standard.

Example.
Imagine you're mentoring a new engineer, Jamie:
Self-aware: Before each site visit, you reflect, ""Am I following all safety rules myself?""
Model the standard: You always wear your hard hat, high-vis vest, and safety boots—even when it's inconvenient—and you complete the safety checklist out loud, inviting Jamie to observe.
By openly checking your own safety practices and demonstrating them every time, you show Jamie exactly what professional, ethical behaviour looks like—rather than just telling them."
Self-employed consulting income,Stable monthly income—earnings usually fluctuate with project flow.
Responsibility for design changes,The overruling engineer must seal and accept responsibility for the changes.
Code of Ethics and stock ownership,Immediate disclosure of the conflict of interest.
Who writes and enforces Code of Ethics,The association itself.
Choosing extra safety aligns with,Kant's formalism (duty over consequences).
Worker reassignment after refusing unsafe work,Their salary and benefits must stay unchanged.
Difference between physical and intellectual property,IP ownership is time-limited (expires into the public domain); physical property is indefinite.
Conflict of interest handling,Disclose the relationship to an appropriate superior authority.
Consequence tracks for a criminal act,"Three: criminal, civil, and professional discipline (versus two for the public)."
Breach of Code of Ethics,Professional misconduct.
Legal defence of double jeopardy,Being tried twice criminally for the same offence; it does not block civil suits or professional discipline.
Highly theoretical branches of philosophy,Epistemology and Metaphysics.
Basis of a Code of Ethics,Moral principles.
Mill's qualitative factors for maximum benefit,"Number of people, intensity of benefit, duration of benefit."
Influence peddling definition,Selling the influence of your position on someone else's behalf in return for money or favours.
What is self‑dealing?,"Self‑dealing means you use your position to help yourself or your family instead of treating everyone fairly.

Example: A hiring manager fills three new openings by directly appointing her brother, sister‑in‑law, and cousin—without reviewing any other applicants."
Unethical review,Secretly reviewing a colleague's work for the same employer is unethical because the Code requires informing the original practitioner (unless their link to the work is terminated).
Whistle-blowing,The first step before 'whistle-blowing' externally is to attempt to resolve the issue through internal channels.
Ethical requirement for sealing,"If a friend asks you to seal her drawing, the ethical requirement is to refuse unless you do a full review and are willing to accept responsibility."
Primary obligation before sealing,"When you rely on work received from another P.Eng., your primary obligation before sealing is to verify the work is fit for its intended purpose; perform enough review/tests to accept full responsibility."
NPRI,Canada's NPRI (National Pollutant Release Inventory) does not enforce excessive-pollutant releases; it only collects & publishes data.
Professional-liability (E&O) insurance,"Not required for a solo consulting engineer in Alberta, though recommended; other provinces vary."
Sexual harassment,"Physical sexual contact is not required; harassment can be verbal or non-physical, if unwelcome and gender-related."
Paramount duty in Canadian engineering Code of Ethics,"Hold the safety, health, and welfare of the public (including the environment) paramount."
Love Canal disaster (1970s),"Core cause: Massive health & environmental damage traced to improper chemical-waste disposal, prompting tougher waste-handling laws."
Commercial General Liability vs. Errors & Omissions insurance,E&O (professional liability) covers design/consulting negligence; CGL covers third-party bodily injury/property damage.
ISO 14001 certification,Signals serious corporate commitment to environmental management systems (EMS).
How Canada keeps provincial building-code differences small,"Provinces/territories adopt & adapt national model codes, ensuring broad consistency."
Quality-management method that strips out non-value activities to cut cost & waste,Lean (identify what customers truly value; eliminate the rest).
Government level that controls building-construction codes in Canada,Provincial/territorial governments (they may adopt or modify national model codes).
QMS most suited to cutting manufacturing defects without needing ISO prestige,Six Sigma - data-driven defect reduction in production processes.
Lean vs Six Sigma - quick distinction,Lean = eliminate waste (speed/efficiency); Six Sigma = eliminate defects (quality/yield).
User's core duty when relying on engineering / geoscience software,"Use it only within its validated parameters and understand its assumptions, limits & reliability."
Developer vs. user responsibilities for professional software,"Developer → create, document & maintain; User → ensure correct application and disclose methods/limits to stakeholders."
Supporting calculations from commercial software,Engineer must supply all input and output data in a readable form (may charge prep time) even if the program itself is proprietary.
Legal/ethical duties after spotting a workplace hazard,1️⃣ Communicate the risk to all affected 2️⃣ Eliminate or reduce the hazard to an acceptable level.
Liability insurance (E&O),"Protects the insured against third-party claims for professional errors, omissions, or negligence."
Rule for applying a professional seal,Only on final documents containing technical information that others will rely on - never on preliminary drafts.
"What are ""as-built"" drawings in an engineering project, and who typically prepares and seals them?","""As-built"" drawings are mark-ups, typically by someone other than the design engineer (e.g., contractor), showing actual on-site conditions after construction. They are generally not sealed by a P.Eng./P.Geo., as they reflect field changes rather than design intent.

Example: A contractor updates piping drawings to show rerouted pipes due to on-site obstacles, but the P.Eng. does not seal them. (Syllabus topic I.3, Ethics 5th ed. p.51 or 6th ed. p.48)"
"If an engineer omits their professional seal from a document, does it eliminate their legal liability?","No. Liability (legal responsibility) arises from the engineer's involvement in the work, not from whether the seal was applied."
Charging a fee for applying a seal,"No. Sealing is part of normal professional duty; fees may be charged only for review work, not for the stamp itself."
Creating a valid digital seal,Apply through your licensing association; a scanned image of your rubber stamp is not an electronic seal.
Giving credit on multi-firm projects,"Always acknowledge every individual / firm that contributed, even rivals or those with small shares of the work (NPPE III.3)."
First response to non-dangerous ethical lapse,"Discuss the issue directly with the colleague; escalate to the boss only if unresolved (Whistle-blowing ethics, NPPE III.9)."
Best present-day answer to waste-disposal issues,Efficient resource use & reduce-reuse-recycle — prevent the waste before having to treat it (NPPE III.6).
"Main illicit use of CFC ""freons"" today",Servicing out-of-date refrigeration / cooling systems; professionals must avoid venting CFCs (NPPE III.6).
Job offer that relies on prior employer's trade secrets,Decline (or disclose) - accepting is a conflict of interest and breach of loyalty/confidentiality (NPPE III.2).
"Same-surname hire with no relation

What should you do if you hire someone who shares your last name but isn't related?

(Conflict of interest - a situation where personal connections could unfairly influence decisions)","Publicly disclose and explain there's no family tie to dispel any perception of favoritism.

Example: ""Though we share the surname Smith, Jane Smith is not my relative—this hire was made solely on merit."""
Who decides if you're competent for a new specialty?,"You do - professionals self-assess competence, but face discipline if they misjudge (Acts §competence)."
"What is meant by ""authenticating"" a technical document?",Apply professional seal + signature + date to every key final document/drawing.
Core role of an engineering technician on a team,"Works under engineer supervision on practical tests, equipment set-up & maintenance."
Whistle-blowing & job security,Justified reporting of unsafe/illegal practice is not grounds for dismissal; wrongful dismissal can be sued for lost wages.
Hartford Coliseum (1978) lesson,"Negligence: engineers relied only on computer analysis; should have cross-checked with hand methods (e.g., Euler buckling)."
"Fast, low-cost first check of new software",Hand-calculate a representative case and compare with software output.
Key features of a good Communications System Policy (CSP),"Written document that educates users, defines acceptable use & is prepared with legal advice (verbal-only policies are inadequate)."
Charging for use of seal,"You may bill for review time, never for the act of sealing itself."
"Who owns the official professional seal and what must members do with it when asked?
Ownership of physical or digital seals",The provincial/territorial association retains legal ownership of the seal—members are required to surrender their physical or digital seal back to the association on demand.
Does forgetting to seal remove liability?,"No. Courts assign liability based on involvement, not on presence of a stamp."
Faulty software causes structural failure—who's liable?,"The practitioner who relied on un-verified results, not the contractor or vendor."
Complete authentication check-list when you seal a junior's report,1️⃣ Verify it's final 2️⃣ Review in depth 3️⃣ Stamp + Sign + Date. Omit any of these → not properly authenticated.
Switching jobs to a direct competitor - new contract requirements,Any disclosure of the previous client's confidential affairs must NOT be demanded.
"Designer's obligation when codes are missing, weak, or outdated",Exceed or deviate from the code using sound engineering principles to keep the public safe.
Why is using pirated engineering software unethical?,It violates the Copyright Act; professionals must respect intellectual-property law.
First step when handed unfamiliar commercial software for design work,Read the documentation/user manual to understand assumptions & limits before any calculations.
Meaning of 'peak oil' and what follows for natural-gas demand,"The point where global oil production hits its maximum then declines; demand then shifts to gas, which will peak later."
Trigger for re-validating engineering software (QA),"Every time the software is updated, patched, or re-configured."
Coverage focus of a Commercial General Liability (CGL) policy,Third-party bodily injury and property damage (NOT design errors — that's E&O).
Expected price trend when easy-access oil is exhausted (post-peak),Supply falls → oil prices likely rise sharply due to scarcity.
Hand-stamp vs. digitally-applied seal,An electronic seal is considered equivalent to a hand stamp for authentication.
Management style that assumes employees dislike work,Autocratic / Authoritarian (Theory X).
Two baseline defences against hackers/spammers for engineering firms,Firewall + Antivirus software.
"Clause that covers labour strikes, fires, pandemics",Force majeure.
Phase-I investigation to check a property for contamination,Environmental Site Assessment (ESA).
Missing detail in supervisory seal process,You must also sign and date beside the stamp for full authentication.
Why is installing pirated engineering software unethical?,It violates the Copyright Act — a breach of law and professional ethics.
Core duty of an expert witness in court,"Remain neutral and assist the court, not either party."
Copyright protection in Canada begins when?,Automatically at the moment the work is created; registration is optional extra protection.
Key feature distinguishing arbitration from court litigation,Parties choose the arbitrator and set their own procedural rules.
Which item is not covered by Employment Standards Acts?,"Volunteering (hours, minimum wage, termination notice are)."
Canada's two legal systems,Québec follows French civil law; all other provinces follow British common law.
What are the three primary intentional torts relevant to professional engineering and geoscience practice in Canada?,"The three primary intentional torts are Fraud, Trespass, and Defamation. These involve deliberate actions, unlike negligence, which is unintentional.

Example: A P.Eng. knowingly misrepresents project risks (fraud), enters private land without permission (trespass), or falsely claims a colleague's incompetence (defamation). (Syllabus topic I.3, Law text p.12 or p.18)"
Relationship between statutes and the Constitution,Statutes must be compatible with the Constitution or they're invalid.
Employer sees escalating harassment. What is the legal duty?,Act immediately to stop it - failure can make the employer vicariously liable.
"Meaning of ""primacy legislation"" (Charter & human-rights codes)",They can override any conflicting law within their jurisdiction.
"After Canada signs an international trade treaty, who must comply?","All levels - federal, provincial/territorial, and municipal governments."
Association discipline process - at which phases can an expert witness be hired?,"Stage 1 (evidence-gathering) to help prepare a technical complaint, and Stage 3 (discipline hearing) to give sworn technical testimony."
Emailing a forged discipline decision that harms a professional's reputation constitutes the tort of ___,Defamation (libel).
Hazard can't be eliminated - two precautions a professional must take,Install physical guards and post prominent warning signs to protect workers & public.
Canadian court level that most often decides Charter of Rights & Freedoms cases,Supreme Court of Canada.
Liability of partners in a general partnership when one partner commits fraud,"All partners are jointly and severally liable for the firm's debts and wrongful acts, even if uninvolved."
Right that lets a landowner cross neighbouring property for access,Easement (runs with the land).
"Even if a case's facts match an older precedent, why might a court still refuse to follow that precedent?","Because subsequent judicial decisions, legislative changes, or material factual differences can override or distinguish the old rule—courts aren't bound when the law or key facts have evolved.

Example: A 1980 ruling on pesticide liability may be set aside today if newer statutes change industry standards or scientific evidence shows different health risks."
Discrimination in pay for the same job,"No - employers may differentiate on legitimate grounds such as greater experience or tenure; human-rights statutes bar discrimination only on protected grounds (sex, race, age, etc.)."
Cutting an employee's salary 20% without consent,Treated as constructive dismissal - employee may treat contract as terminated and sue for severance/notice.
Easement,"A legal right allowing someone to use another person's land for a specific purpose.
An easement is like a permission slip that lets one person use part of another person's property without owning it. It gives a specific right—for example, to walk, drive, or run a utility line—over land they don't own. Easements stay with the land, so if the property is sold, the new owner still has that right. They help neighbors avoid conflicts by clearly laying out who can do what on which parts of the land.

Jane owns a house behind Tom's house and needs to walk across Tom's yard to reach the public sidewalk. Tom grants Jane an easement allowing her to use that path anytime. Jane doesn't own Tom's yard—she only has the right to walk along that path. If Jane sells her house, the new owner also keeps that walking right. Without the easement, Jane might have to build a costly private sidewalk or negotiate access each time."
Role of an expert witness,"Give neutral, independent technical opinion - not act as advocate for either party."
Trademark Registration-What's required to secure exclusive nationwide rights and enforce your trademark?,"To gain exclusive nationwide rights—and sue for infringement (unauthorized use) or passing-off (misrepresenting goods/services as yours)—you must either:

1. Register your trademark federally, or
2. Establish common-law trademark rights by long-standing, public use in a specific region.

Example: CoffeeCo™ registers ""FreshBrew"" across Canada. If another café starts selling coffee under ""FreshBrew,"" CoffeeCo™ can bring an infringement or passing-off lawsuit to stop them."
What is an impact claim in construction contracts?,"A claim by the contractor detailing extra costs or time caused by the owner's delay, which preserves the contractor's right to recover those additional expenses."
Opening statement in mediation,Each side gives an opening statement outlining its view of the dispute before joint discussion begins.
"Under a construction change order, what terms are used for price increases and for price decreases?","Price increases are called extras, and price decreases are called credits."
Expert witness payment,Normally paid by the party that hired them (but the fee must not depend on trial outcome).
Estoppel,A legal tool that stops a party from enforcing strict contract wording after giving a free waiver.
Patentability test in Canada,Novelty + ingenuity + utility - the invention must work and be useful.
10 % bid bond,"If the bid is accepted, the bidder must enter the contract or the surety pays up to the bond amount."
Three pillars of Canada's Constitution,1 Division of powers • 2 Creation of the courts • 3 Charter of Rights & Freedoms (the Criminal Code is not one of them).
Appointment of arbitrator,Either party can ask the court to appoint the arbitrator.
Absolute right under OHS laws in Canada,You may refuse the work until the danger is investigated.
Limited partnership,A partnership where a partner invests money but does not run the business and has limited liability.
Force-majeure clause,A clause that protects you from schedule penalties when floods or other 'acts of God' strike.
What is the contra proferentem rule in contract law?,"When a contract term is ambiguous, the court interprets it against the party who drafted (wrote) that term.

Example: A supplier's contract says ""delivery within 30 days"" without specifying start date. If disputed, the court will construe ""30 days"" in the way least favourable to the supplier (the drafter)."
Possible consequences after a practice review finds unskilled practice,"Fines, permit/practice revoked or restricted, and the decision may be published."
CPD requirements after absence,Once you return to practice you must restart meeting the CPD requirements; missed years are not retro-billed.
"Education Half-Life of a Degree-What does ""education half-life"" mean for professionals?","Over time, the relevance of what you learned in your degree decays (loses relevance) as technology and best practices evolve. The ""half-life"" is the period in which roughly half of your original knowledge becomes outdated, making ongoing learning essential to stay competent.

Example: If a computer science degree has an education half-life of 5 years, then about half of what you learned when you graduated will be obsolete after five years—so you need continual training to keep up.

Difficult word:Decay: to gradually lose strength or effectiveness."
"Under provincial/territorial Occupational Health & Safety Acts, what action can a worker take when faced with a dangerous task?","Workers have the legal right to stop work and refuse tasks they reasonably believe are unsafe.Example: On a construction site, if a worker notices a scaffold platform missing planks, they can refuse to climb it and report the hazard to their supervisor without fear of reprisal."
What five elements are required for a contract to be legally enforceable?(Enforceable = a court will uphold it),"1. Offer & Acceptance - One side proposes terms; the other agrees.
2. Mutual Intent - Both parties intend to be bound.
3. Consideration - Each gives something of value (money, service).
4. Capacity - Parties are competent (e.g., adults of sound mind).
5. Lawful Purpose - The contract's goal must be legal.

Example: You offer $200 for a friend to paint your room, they accept, both intend a binding deal, you'll pay $200 (consideration), you're both adults (capacity), and painting is legal (lawful purpose)."
What is estoppel in contract law?,"When one party knowingly gives up (""waives"") a strict right under a contract and the other party relies on that waiver, a court will prevent the first party from later enforcing the original term.

Example:A landlord tells a tenant it's okay to pay rent up to three days late each month. The tenant relies on this and pays late for several months. The landlord cannot suddenly enforce the strict ""due on the first"" clause for those months—they're estopped (stopped) from doing so."
"In a practice review, what's the main focus for an individual member vs. a firm?","Individual: Are they staying competent and honestly logging their CPD?

Firm: Is it following its PPMP (Professional Practice Management Plan)?

Example:
Individual: Jane logs 30 CPD hours and demonstrates up-to-date technical skills.
Firm: Acme Engineering follows its written QA procedures for every project."
What's a common penalty the Discipline Committee can impose on a licensed member?,"Impose terms or conditions on their licence (e.g., practice under supervision, complete specified courses).Example: An engineer found guilty must work under a senior mentor for one year and finish a ethics refresher course."
Main power of the association when the public complains,Can discipline its member (it can't award money to the complainant).
What is Alternative Dispute Resolution (ADR)?,"Alternative Dispute Resolution (ADR) refers to methods of resolving disputes outside of traditional court litigation, often involving a neutral third party to facilitate a resolution. It offers a more flexible, and sometimes faster and less expensive, approach to conflict resolution compared to going to court."
Professional misconduct,Unethical behaviour.
Informal CPD example,Attending a conference workshop (informal = learning with no exam or credential).
"In an individual practice review, which item is not examined?","The member's firm-level Professional Practice Management Plan (PPMP) is not reviewed.

A PPMP is the company's written policies, procedures, and quality controls.

Example: The PRB will check Maria's CPD record and technical competence, but it won't audit her employer's PPMP."
Correct order of the formal discipline process,1️⃣ Gather evidence → 2️⃣ Investigative/Complaints Committee review → 3️⃣ Discipline hearing.
Who can sign off a mining prospectus under NI 43-101?,An independent engineer or geoscientist with ≥ 5 years' experience relevant to the project.
Sanction for serious OH&S offence,Imprisonment.
Safety body required for Ontario office of 15 employees,One Health & Safety Representative (a Joint Committee is needed at ≥ 20 employees).
Common term for tangible personal property in law,"Chattels - movable items you can touch (e.g., tools, textbooks)."
What are chattels?,"Tangible personal property—movable items you can touch (e.g., tools, textbooks).Tangible: able to be touched."
What is the meaning of rescission?,"The legal undoing or cancellation of a contract, restoring the parties to their positions before the agreement.•

Example: A homeowner signs a renovation contract, then learns the contractor isn't licensed—she rescinds the contract and recovers her deposit.•

Persian (Farsi): فسخ قرارداد"
Copyright,"The exclusive legal right to copy, distribute, and adapt a creative work.

Example: An author owns the copyright to her novel and can stop anyone from printing or selling copies without her permission."
Canadian Common-Law system,"Law made by judges through precedents, evolving case-by-case on principles of fairness (""equity"")."
Trust,"A legal duty to hold funds for someone else.
تعهد قانونی برای نگهداری وجوه متعلق به دیگران.
Example: A general contractor must keep owner's progress payments in a separate trust account and pay subcontractors before using the money for its own expenses."
Section of the Charter that covers equal salary for equal work,"Section 15 - Equality rights (protects from discrimination incl. sex, race, etc.)."
Types of misrepresentation,"Types are innocent, negligent, fraudulent; 'Voidable' is a consequence, not a category."
"Which Intellectual Property (IP) right is infringed by copying a decorative pattern?
Infringe: نقض کردن","Industrial design - protects the visual features (shape, pattern, ornament) of a manufactured article.
Example: Reproducing the unique quilted pattern of a luxury handbag on your own product without permission infringes its industrial design right.Ornament: decoration"
Word for tangible movable personal property,Chattels.
How to become part of a national federation such as CFES,You cannot join the federation directly; join one of its member societies and you're automatically included.
Local societies,"Tackle area-specific problems (e.g., Arctic construction issues) that broader groups may ignore."
What is a seal?,"A seal is the official stamp your association gives you (it even has your name and licence number) that you press onto a document to say, ""I checked this and I take responsibility for it.

""Example: An engineer seals the final design drawings before sending them to the city's building department to confirm they've reviewed and approved every detail."
Hiring non-licensed sound engineer,"Insist the title be changed (e.g., ""sound technician"") or don't hire; otherwise the firm aids illegal practice."
EIT/MIT practice,"Practice engineering only under direct supervision of a licensed P.Eng.; cannot sign, seal, or call themselves P.Eng."
Federation vs society,Society = individual subject-based group; federation = coalition of societies.
Québec's Geologist Act (2001) was enacted in response to which major environmental disaster?,"- Enacted in response to the Walkerton drinking-water contamination of 2000 (contamination = pollution by harmful substances)
- Established mandatory licensing and oversight of geoscientists in Québec to protect public health
- Example: Now, only licensed geoscientists can certify groundwater safety before a town opens new wells."
Association action for unauthorized title use,Enforcement (against non-members using protected title).
Trademark protection duration,"10 years from registration, renewable every 10 years (post-2019 Trade-marks Act update)."
Breach of contract,"A failure to perform the contractual obligations (""failure to complete the deal"")."
What is the purpose of an RFQ?,"RFQ stands for Request for Qualification. It's when you send out a simple form to companies to check if they've got the right skills, staff, and equipment before you even talk price.

Example: The province needs a new water treatment plant, so they issue an RFQ asking firms to prove they've done similar projects and have the necessary team—only those that qualify move on to bid."
Quality-Based Selection (QBS),"Consultant selection method focusing on quality; ranks by qualifications first, then negotiates fee."
Practice of engineering,"Any act of planning, designing, evaluating, advising, reporting, directing or supervising that uses engineering principles."
Canadian Engineering Accreditation Board (CEAB),"CEAB sets criteria, evaluates programmes, and recommends accreditation, but does not write programme syllabi or exams."
Canadian-equivalent experience abroad,"Experience outside Canada is acceptable if Canadian laws, standards, codes, and climate are applied under a Canadian professional."
Copyright protection,Copyright protection exists once the work is fixed; registration only aids proof.
Second-most criterion in work-experience assessment,Practical (hands-on) experience is next.
"Which step in the Carbon Capture and Sequestration (CCS) process raises the greatest environmental concern and requires more research due to potential long-term leakage risks?
A) Storage of CO2
B) Separating the CO2
C) Installing the CCS equipment
D) Delivering it deep underground",A) Storage of CO2
"Which of the following is most true about architects working on engineering and geoscience projects?
A) They design buildings
B) They need a licence in order to practice
C) They have excellent seismic knowledge
D) They work under engineers",B) They need a licence in order to practice
"Under National Instrument 43-101, only a _____________ may publicly report ore discoveries.
a) mining company executive
b) financial analyst
c) Qualified Person (QP)
d) stock market regulator",c) Qualified Person (QP)
"A Letter of Assurance is typically submitted at the _______ of a project and certifies that __________.
a) start / the project will be completed on time
b) end / the building was constructed according to the approved plans and specifications
c) start / all professionals are licensed
d) end / the building will never fail or cause harm",b) end / the building was constructed according to the approved plans and specifications
"According to most Occupational Health and Safety Acts, it is the ______'s responsibility to wear personal protective equipment, and the ______'s responsibility to supply it.
a) supervisor / employer
b) worker / employer
c) employer / government
d) employee / provincial association",b) worker / employer
Which regulatory function involves investigating licensed members for unethical or incompetent conduct and can result in penalties like suspension or license revocation?,Discipline
"The Iron Ring ceremony in Canada is ________ and symbolizes an engineer's commitment to ethics and public duty, but it is not a legal requirement for licensure.",voluntary
"Which of the following is NOT a legal requirement to become a licensed Professional Engineer (P.Eng.) in Canada?
A) Accredited engineering degree
B) Work experience
C) Passing the NPPE
D) Participation in the Iron Ring ceremony",D) Participation in the Iron Ring ceremony
The Iron Ring ceremony in Canada is _______ (mandatory / voluntary) and has _______ (legal / symbolic) significance.,voluntary; symbolic
"""Soft skills"" refer to interpersonal abilities like communication and teamwork, whereas ""hard skills"" refer to _______.","technical or job-specific abilities (e.g., using equipment, collecting samples)"
"_________ are interpersonal and communication abilities that help individuals interact effectively, work in teams, and adapt in the workplace.",Soft skills
"Mill's Utilitarianism, Kant's Formalism, Locke's Rights Ethics, and Aristotle's Virtue Ethics are all examples of:
A) Epistemology
B) Ethical theories
C) Logic
D) Metaphysics",B) Ethical theories
"Which ethical theory focuses on achieving the greatest good for the greatest number?
A) Formalism
B) Virtue Ethics
C) Rights Ethics
D) Utilitarianism",D) Utilitarianism (Mill)
"True or False: In Canada, duplicating a creator's work shortly after their death is allowed, as long as it's not for profit.","False — Copyright protection lasts for life plus 70 years, regardless of purpose."
"What is physical property?
A) A design or idea protected by law
B) A physical item owned by an individual or group
C) An intangible asset that can't be transferred
D) A license issued by a regulatory body",B) A physical item owned by an individual or group
"What is the main difference between physical and intellectual property?
A) You can license intellectual property but not physical property
B) You can own physical property indefinitely, but intellectual property has a limited ownership period
C) You can't buy intellectual property
D) Physical property can't be sold","B) You can own physical property indefinitely, but intellectual property has a limited ownership period"
What happens to intellectual property once its ownership period ends (unless renewed or extended)?,It enters the public domain and becomes public property
"What are the two main types of property professionals must understand?
A) Legal and illegal property
B) Tangible and intangible rights
C) Physical and intellectual property
D) Private and public property",C) Physical and intellectual property
List the three types of consequences a professional might face after committing embezzlement.,"1. Criminal
2. Civil
3. Professional/disciplinary"
"Jane's decision to release a cost-saving technology that benefits the greatest number of people reflects which ethical theory?
A) Locke's Rights-Based Ethics
B) Kant's Duty-Based Ethics
C) Mill's Utilitarianism
D) Aristotle's Virtue-Based Ethics",C) Mill's Utilitarianism
"If an employee develops a technology during company time and using company resources, who owns the intellectual property?",The employer (the firm)
"What is the Persian (Farsi) translation of the word ""miscarriage""?",سقط جنین
"Fill in the blank:
The general duration of copyright in Canada equals the creator's lifetime plus ______ years.",70
"Under Canadian engineering & geoscience self-regulation, __________ is the process of charging a licensed member for incompetence or unethical behaviour, whereas __________ is the process of charging a non-member for offences such as unauthorized use of ""P.Eng."" or ""P.Geo.""",Discipline ; Enforcement
"According to most provincial/territorial Acts, under what conditions can a firm use the title ""Engineers and Architects"" in its name?",Only if both licensed professional engineers and registered architects are partners or shareholders in the firm.
"Wearing an iron ring (engineers) or earth science ring (geoscientists) symbolizes that the wearer has __________.
A) received an accredited engineering/geoscience degree
B) taken an oath to maintain high standards in their profession
C) obtained professional licensure from their association
D) been hired by a professional firm",B) taken an oath to maintain high standards in their profession
"Q: What agreement ensures that licensed engineers and geoscientists in Canada can relocate and practice in any other province or territory with minimal additional requirements?
A) Canada Free Trade Agreement (CFTA)
B) National Mobility Agreement
C) Agreement on Internal Trade (AIT)
D) All of the above",A: D) All of the above
"Q: For some engineering associations, what is a requirement for a Master's program to be eligible for experience credit?
A) The program must be online
B) The program must be thesis-based
C) The program must be completed in under 6 months
D) The program must focus on general engineering knowledge",A: B) The program must be thesis-based
"Q: The Luna 3 probe, which photographed the moon, was a major achievement of which country?
A) Canada
B) United States
C) Soviet Union
D) United Kingdom",A: C) Soviet Union
"Q: Which of the following is NOT an example of a Canadian engineering or geoscience achievement?
A) Alouette-I Orbiting Research Satellite
B) CANDU nuclear power system
C) Transcontinental railway network
D) Luna 3 probe photographs the moon",A: D) Luna 3 probe photographs the moon
"Q: According to the code of ethics, how should the professional member view their duty to the public?
A) As important as the duty to the employer
B) Less important than the duty to oneself
C) Less important than the duty to the profession
D) As the most important duty",A: D) As the most important duty
"In an employer-employee contract for creating intellectual property, the ______ is named as the creator and the ______ is named as the owner upon registration.","Creator: employee
Owner: employer"
An exception to confidentiality allows disclosure when the professional believes withholding the information would be contrary to the ________ of the public.,safety
"An exception to confidentiality allows disclosure when required by ________, and only to the extent required.",law
"Calculus and statistics as formal disciplines originated in which century?
A. 3rd century BCE
B. 12th century CE
C. 17th century CE
D. 19th century CE",C. 17th century CE
Must the reviewer always redo all calculations or drawings from scratch to seal them?,No—only if that level of checking is needed for the reviewer to gain confidence in the work.
Who holds ethical and legal responsibility once the work is sealed?,The engineer who reviewed and sealed it.
What events led to the first engineering licensing laws in Canada?,Two major bridge collapses in 1907 and 1916 that killed over 85 workers.
What does the designation P.Eng. stand for?,Professional Engineer.
Why was the P.Eng. title created?,To ensure only qualified engineers could legally practice and seal technical documents.
What is the main goal of requiring engineers to be licensed?,"To protect public safety by ensuring only competent, accountable engineers practice."
The Iron Ring ceremony began in ______ to remind engineers of their ethical duties.,1922
The main goal of licensing engineers is to protect public ______ by ensuring competence and accountability.,safety
Double jeopardy only applies to __________ charges.,criminal
Who enforces the Code of Ethics?,Each provincial or territorial association itself.
Do the Codes of Ethics look exactly the same in every province?,"No, they vary slightly by region."
What is the main use of the Code of Ethics?,To guide members when the right action is unclear.
